ticker,fy,entry,fwd6,dd,fwd_vol,sector,score,true_fwd,fwd6_before
MTB,2024,0.9197,0.0781,-0.0606,0.1751,Financials,0.0658,0.2079,0.1194
KLAC,2024,0.9516,0.0762,-0.0694,0.1909,Technology,0.0656,0.0997,0.1095
ADM,2024,0.8342,0.0887,-0.0845,0.1712,Consumer Staples,0.0655,-0.0479,0.1126
DASH,2024,0.8629,0.0748,0.0069,0.1451,Consumer Discretionary,0.0653,0.1161,0.1204
IVZ,2024,0.9444,0.0657,0.0316,0.1691,Financials,0.0652,0.0040,0.1136
ISRG,2024,0.9082,0.0774,-0.0668,0.2676,Healthcare,0.0636,0.0265,0.1173
JPM,2024,0.8519,0.0744,0.0017,0.2088,Financials,0.0635,0.0861,0.1079
GOOG,2024,0.8454,0.0874,-0.1101,0.1206,Communication,0.0629,0.0797,0.1133
GIS,2024,0.7984,0.0980,-0.1561,0.1135,Consumer Staples,0.0626,0.1031,0.1128
HST,2024,0.9276,0.0677,-0.0072,0.2500,Real Estate,0.0621,-0.1138,0.1143
HCA,2024,0.8015,0.1028,-0.2074,0.1768,Healthcare,0.0617,0.1387,0.1150
CNP,2024,0.8992,0.0654,0.0264,0.1408,Utilities,0.0614,0.1416,0.1192
CL,2024,0.8374,0.0686,0.0342,0.2088,Consumer Staples,0.0608,0.0159,0.1191
KMB,2024,0.8873,0.0717,-0.0363,0.1696,Consumer Staples,0.0600,0.2797,0.1194
CSCO,2024,0.9524,0.0574,0.0500,0.0516,Technology,0.0596,-0.1084,0.1134
CEG,2024,0.8215,0.0661,0.0500,0.2587,Utilities,0.0593,-0.0742,0.1103
J,2024,0.7315,0.0727,0.0500,0.1433,Industrials,0.0582,0.1800,0.1083
AME,2024,0.7207,0.0938,-0.0942,0.1967,Industrials,0.0582,-0.1153,0.1192
AVY,2024,0.7536,0.0895,-0.0933,0.0953,Materials,0.0581,0.3432,0.1108
HAS,2024,0.9182,0.0764,-0.1239,0.1063,Consumer Discretionary,0.0577,-0.0157,0.1133
DAL,2024,0.7100,0.0953,-0.1030,0.1488,Industrials,0.0573,0.1536,0.0959
ADI,2024,0.7461,0.0910,-0.1057,0.2454,Technology,0.0573,0.2080,0.1222
COP,2024,0.9467,0.0797,-0.1824,0.1304,Energy,0.0572,-0.1673,0.1191
DG,2024,0.8443,0.0873,-0.1696,0.1048,Consumer Staples,0.0568,0.0947,0.1170
CRL,2024,0.7906,0.0727,-0.0072,0.1960,Healthcare,0.0567,0.1776,0.1079
GEN,2024,0.7376,0.0772,-0.0042,0.2010,Technology,0.0565,-0.0098,0.1039
CHTR,2024,0.9302,0.0692,-0.0787,0.1772,Communication,0.0565,0.1941,0.1144
AMAT,2024,0.8024,0.0781,-0.0636,0.1297,Technology,0.0563,-0.0944,0.1195
DE,2024,0.8400,0.0691,-0.0227,0.1605,Industrials,0.0558,-0.0636,0.1037
ALB,2024,0.7020,0.0853,-0.0460,0.1360,Materials,0.0553,0.1446,0.1151
INVH,2024,0.8844,0.0641,-0.0159,0.2220,Real Estate,0.0551,-0.1089,0.1092
EL,2024,0.8987,0.0723,-0.1029,0.2210,Consumer Staples,0.0547,0.1226,0.1086
DTE,2024,0.9100,0.0635,-0.0377,0.2040,Utilities,0.0541,0.0960,0.0972
COIN,2024,0.8530,0.0666,-0.0290,0.2604,Financials,0.0539,0.0602,0.1132
PODD,2024,0.9552,0.0510,0.0500,0.2298,Healthcare,0.0537,-0.1143,0.1229
AMCR,2024,0.8463,0.0659,-0.0263,0.1601,Materials,0.0532,-0.0204,0.1178
D,2024,0.9234,0.0562,0.0127,0.1164,Utilities,0.0532,0.0237,0.1201
GDDY,2024,0.7100,0.0910,-0.1156,0.1562,Technology,0.0530,0.0130,0.1134
IBKR,2024,0.9095,0.0544,0.0356,0.2130,Financials,0.0530,-0.0353,0.1223
HPQ,2024,0.9589,0.0501,0.0500,0.2578,Technology,0.0530,0.1256,0.1166
FISV,2024,0.8660,0.0682,-0.0616,0.1806,Financials,0.0529,0.2327,0.1248
EOG,2024,0.9058,0.0610,-0.0255,0.1336,Energy,0.0527,0.0585,0.1159
AMT,2024,0.8312,0.0801,-0.1394,0.1867,Real Estate,0.0527,0.0254,0.1105
DD,2024,0.8375,0.0724,-0.0809,0.1983,Materials,0.0525,0.1130,0.1142
IRM,2024,0.9187,0.0510,0.0500,0.1915,Real Estate,0.0519,0.1466,0.1170
LULU,2024,0.8673,0.0605,-0.0106,0.2058,Consumer Discretionary,0.0514,0.2024,0.1147
ERIE,2024,0.8325,0.0711,-0.0785,0.2014,Financials,0.0513,0.1360,0.1071
KDP,2024,0.7606,0.0740,-0.0502,0.2316,Consumer Staples,0.0513,-0.0608,0.1133
ITW,2024,0.8424,0.0803,-0.1647,0.1994,Industrials,0.0511,0.0948,0.1046
ACGL,2024,0.9015,0.0510,0.0500,0.2543,Financials,0.0510,0.2543,0.1224
CCL,2024,0.8783,0.0695,-0.1015,0.1172,Consumer Discretionary,0.0509,0.2554,0.1138
HSIC,2024,0.7753,0.0772,-0.0915,0.2291,Healthcare,0.0507,0.0231,0.1137
GE,2024,0.8571,0.0682,-0.0780,0.1748,Industrials,0.0506,-0.0097,0.1086
ESS,2024,0.9007,0.0688,-0.1144,0.0595,Real Estate,0.0506,0.2389,0.1085
DOW,2024,0.8900,0.0510,0.0500,0.2096,Materials,0.0504,-0.0427,0.1151
GD,2024,0.9296,0.0587,-0.0437,0.2143,Industrials,0.0502,0.2235,0.1198
DVN,2024,0.8575,0.0655,-0.0621,0.1916,Energy,0.0500,0.1109,0.1082
CRH,2024,0.8809,0.0510,0.0445,0.2659,Materials,0.0494,0.1162,0.1155
